name,price,speed,modules,color,first_word_latency,cas_latency
G.Skill Trident Z5 RGB 32 GB,116.99,"55,600","2,16",Black,10,28
G.Skill Trident Z5 RGB 32 GB,112.99,"56,000","2,16",Black,10,30
G.Skill Ripjaws S5 32 GB,107.99,"56,000","2,16",Black,10.667,32
G.Skill Ripjaws S5 32 GB,104.99,"56,000","2,16",Black,10,30
Corsair Vengeance 96 GB,279.99,"55,600","2,48",Black,14.286,40
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,"43,200","2,8",Red,10,16
Corsair Vengeance RGB RT 32 GB,139.99,"44,600","2,16",Black,7.826,18
Corsair Vengeance RGB RT 256 GB,1511.31,"43,600","8,32",Black,10,18
TEAMGROUP T-Create Expert 64 GB,194.99,"56,400","2,32",Black,10.625,34
Corsair Vengeance RGB 64 GB,242.99,"56,600","2,32",Black / Gray,9.697,32
Corsair Vengeance LPX 16 GB,44.99,"43,200","2,8",White,10,16
Corsair Vengeance RGB RS 32 GB,89.99,"43,200","2,16",Black / Gray,10,16
Kingston KVR13N9S6/2 2 GB,19.97,"31,333","1,2",Black / Green,13.503,9
Patriot Viper 3 16 GB,29.98,"31,866","2,8",Black / Silver,10.718,10
G.Skill Trident Z5 RGB 96 GB,339.99,"56,400","2,48",White / Black,10,32
G.Skill Trident Z RGB 32 GB,84.99,"44,000","2,16",Black,9,18
Corsair Vengeance RGB 96 GB,367.99,"56,800","2,48",Black / Silver,11.765,40
Corsair Vengeance LPX 32 GB,69.98,"42,133","2,16",Black / Yellow,12.189,13
Patriot Signature Line 8 GB,28.98,"54,800","1,8",Black,16.667,40
Lexar THOR 16 GB,48.66,"43,200","2,8",Black,10,16
ADATA XPG Lancer Blade RGB 32 GB,119.99,"56,000","2,16",White,10,30
Kingston HyperX Fury 32 GB,,"43,200","2,16",Black,10,16
Corsair Vengeance 64 GB,242.99,"56,600","2,32",Black / Gray,9.697,32
Corsair Vengeance 32 GB,94.99,"55,200","1,32",Black,15.385,40
Corsair Dominator Titanium 32 GB,175.99,"56,600","2,16",White,9.697,32
Kingston KVR16N11/8 8 GB,16.88,"31,600","1,8",Green,13.75,11
Corsair Dominator Platinum RGB 32 GB,164.99,"56,000","2,16",Black,10,30
Corsair Vengeance RGB Pro 32 GB,124.99,"43,200","4,8",White,10,16
TEAMGROUP T-Create Expert 64 GB,184.99,"56,000","2,32",White,11.333,34
Corsair Vengeance RGB RT 32 GB,104.99,"43,600","2,16",Black,8.889,16
Kingston FURY Beast RGB 16 GB,87.99,"55,600","2,8",Black,14.286,40
Patriot Signature 8 GB,15.98,"31,600","1,8",Black / Green,13.75,11
